date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence,regime
2025-09-02,O:SPY250903C00641000,0.9,0.9,0.0,0.0,Trailing stop,15.0,0.6606284664087826,1
2025-09-02,O:SPY250903P00640000,2.87,2.56,-10.801393728222997,-1054.0,Hard stop,3.0,0.6620580614883605,0
2025-09-02,O:SPY250903P00640000,2.9,2.62,-9.655172413793103,-952.0,Hard stop,4.0,0.6725207717037996,1
2025-09-05,O:SPY250908P00650000,1.94,2.89,48.96907216494845,4845.0,Trailing stop,13.0,0.6662869370678287,1
2025-09-05,O:SPY250908C00651000,0.56,0.46,-17.85714285714287,-1780.0000000000014,Hard stop,2.0,0.7390022578823755,3
2025-09-05,O:SPY250908C00651000,0.47,0.41,-12.76595744680851,-1272.0,Hard stop,4.0,0.7507650865063988,3
2025-09-09,O:SPY250910P00649000,2.5,2.11,-15.6,-1560.0,Hard stop,3.0,0.6776515538488223,1
2025-09-16,O:SPY250917P00661000,2.45,2.54,3.6734693877550897,359.99999999999886,Trailing stop,31.0,0.6506012356657818,1
2025-09-17,O:SPY250918P00660000,4.2,4.08,-2.857142857142857,-276.0,Trailing stop,6.0,0.6513068936200549,3
2025-09-17,O:SPY250918P00660000,4.84,4.08,-15.702479338842975,-1520.0,Hard stop,1.0,0.6559156303547806,3
2025-09-17,O:SPY250918C00661000,1.18,0.82,-30.508474576271187,-3024.0,Hard stop,2.0,0.7380583609485826,3
2025-09-23,O:SPY250924C00667000,0.4,0.39,-2.5,-250.0,Trailing stop,10.0,0.6841088756150441,1
2025-09-24,O:SPY250925P00663000,2.99,3.23,8.02675585284281,792.0,Trailing stop,26.0,0.6644919127413238,1
2025-09-25,O:SPY250926P00661000,6.29,5.74,-8.744038155802862,-825.0,Hard stop,5.0,0.6687245627314967,1
2025-10-01,O:SPY251002C00662000,3.6,3.75,4.166666666666666,405.0,Trailing stop,15.0,0.679397348742874,3
2025-10-01,O:SPY251002P00661000,1.19,1.08,-9.243697478991598,-924.0,Hard stop,2.0,0.6760684159825984,1
2025-10-01,O:SPY251002P00661000,1.03,0.94,-8.737864077669903,-873.0,Hard stop,2.0,0.6557996104158361,1
2025-10-02,O:SPY251003P00669000,1.95,1.78,-8.717948717948717,-867.0,Hard stop,4.0,0.6638354112925434,1
2025-10-02,O:SPY251003C00670000,1.4,1.32,-5.714285714285714,-568.0,Early loss exit,4.0,0.6812055016311339,0
2025-10-02,O:SPY251003C00670000,1.4,1.22,-12.857142857142856,-1278.0,Hard stop,5.0,0.6665240865443027,0
2025-10-03,O:SPY251006C00672000,1.3,1.64,26.153846153846157,2584.0,Trailing stop,39.0,0.6503243156330369,0
2025-10-03,O:SPY251006C00672000,1.63,1.54,-5.521472392638037,-549.0,Early loss exit,10.0,0.6513880666524144,1
2025-10-03,O:SPY251006C00672000,1.59,1.44,-9.433962264150944,-930.0,Early loss exit,19.0,0.7180864446519469,0
2025-10-06,O:SPY251007P00670000,1.57,1.59,1.2738853503184715,126.0,Trailing stop,18.0,0.6571762479385442,1
2025-10-06,O:SPY251007C00671000,1.34,1.41,5.223880597014925,518.0,Momentum exhaustion,24.0,0.6795313404228697,0
2025-10-06,O:SPY251007C00671000,1.41,1.33,-5.673758865248227,-560.0,Early loss exit,9.0,0.6883456845796866,0
2025-10-07,O:SPY251008C00671000,1.76,1.68,-4.545454545454546,-448.0,Early loss exit,6.0,0.653892535999599,1
2025-10-07,O:SPY251008C00671000,1.68,1.4,-16.666666666666664,-1652.0,Hard stop,15.0,0.6507275603115086,1
2025-10-07,O:SPY251008C00671000,1.25,1.13,-9.600000000000012,-960.0000000000011,Early loss exit,16.0,0.661913344122604,1
2025-10-08,O:SPY251009C00671000,1.58,2.09,32.278481012658226,3213.0,Trailing stop,49.0,0.6633990389502095,0
2025-10-09,O:SPY251010C00674000,1.05,0.91,-13.333333333333334,-1330.0,Hard stop,4.0,0.6678517268104405,1
2025-10-09,O:SPY251010P00673000,2.38,2.15,-9.663865546218489,-966.0,Hard stop,4.0,0.6657240871947568,1
2025-10-09,O:SPY251010C00674000,0.98,0.92,-6.122448979591836,-612.0,Early loss exit,10.0,0.6841684841549699,1
2025-10-10,O:SPY251013P00671000,1.28,1.16,-9.37500000000001,-936.0000000000011,Hard stop,1.0,0.6548187938404028,1
2025-10-10,O:SPY251013P00671000,1.4,1.32,-5.714285714285714,-568.0,Early loss exit,5.0,0.6563212902891564,1
2025-10-10,O:SPY251013P00671000,1.9,5.09,167.89473684210526,16588.0,Trailing stop,5.0,0.691354487428297,1
2025-10-13,O:SPY251014C00662000,2.69,3.15,17.100371747211895,1702.0,Trailing stop,38.0,0.6651460861124745,1
2025-10-13,O:SPY251014C00662000,3.26,2.81,-13.803680981595093,-1350.0,Hard stop,3.0,0.6589480803690321,0
2025-10-13,O:SPY251014P00661000,2.83,2.91,2.8268551236749118,280.0,Trailing stop,12.0,0.6676559301088885,1
2025-10-14,O:SPY251015P00659000,6.34,5.93,-6.466876971608833,-615.0,Early loss exit,2.0,0.6544042531088824,1
2025-10-14,O:SPY251015C00660000,1.48,2.9,95.94594594594594,9514.0,Trailing stop,82.0,0.6505593848186992,1
2025-10-14,O:SPY251015P00659000,2.64,2.33,-11.742424242424242,-1147.0,Hard stop,5.0,0.6582325271460561,1
2025-10-15,O:SPY251016P00665000,2.5,2.72,8.799999999999999,880.0,Trailing stop,11.0,0.6623821608722491,1
2025-10-15,O:SPY251016C00666000,2.48,2.3,-7.258064516129044,-720.0000000000011,Early loss exit,10.0,0.6791536613246909,1
2025-10-15,O:SPY251016C00666000,2.62,2.47,-5.725190839694646,-569.9999999999989,Early loss exit,6.0,0.6584230208230379,0
2025-10-16,O:SPY251017C00667000,3.07,2.7,-12.052117263843648,-1184.0,Hard stop,4.0,0.6525235667764406,1
2025-10-16,O:SPY251017C00667000,3.21,2.96,-7.78816199376947,-775.0,Early loss exit,10.0,0.6651512156571675,0
2025-10-16,O:SPY251017C00667000,3.27,3.34,2.1406727828746175,210.0,Trailing stop,18.0,0.6534236707612445,0
2025-10-17,O:SPY251020C00657000,5.71,6.89,20.665499124343256,2006.0,Trailing stop,32.0,0.6581782872348761,1
2025-10-21,O:SPY251022P00671000,2.36,2.15,-8.898305084745763,-882.0,Hard stop,9.0,0.6710716940138722,1
2025-10-21,O:SPY251022C00672000,1.54,1.5,-2.5974025974025974,-256.0,Trailing stop,19.0,0.6804730883974939,0
2025-10-21,O:SPY251022P00671000,2.29,2.04,-10.91703056768559,-1075.0,Hard stop,6.0,0.6645237998349969,1
2025-10-22,O:SPY251023C00672000,1.77,1.71,-3.389830508474576,-336.0,Early loss exit,3.0,0.6598080751749289,3
2025-10-22,O:SPY251023P00671000,1.9,1.77,-6.842105263157896,-676.0,Early loss exit,7.0,0.6604753153106637,1
2025-10-22,O:SPY251023C00672000,1.73,1.52,-12.138728323699421,-1197.0,Hard stop,6.0,0.6714795235770831,0
2025-10-23,O:SPY251024C00669000,2.6,3.23,24.23076923076923,2394.0,Trailing stop,26.0,0.6752401936777881,0
2025-10-23,O:SPY251024C00669000,2.92,2.44,-16.43835616438356,-1632.0,Hard stop,4.0,0.6509301335030436,1
2025-10-23,O:SPY251024P00668000,2.5,2.26,-9.600000000000012,-960.0000000000011,Hard stop,2.0,0.659115622684611,1
2025-10-24,O:SPY251027C00674000,4.18,4.53,8.373205741626794,805.0,Trailing stop,89.0,0.6533120679185322,1
2025-10-27,O:SPY251028C00683000,1.53,1.46,-4.57516339869281,-455.0,Trailing stop,28.0,0.6614565839110201,1
2025-10-27,O:SPY251028C00683000,1.5,2.01,33.99999999999998,3365.999999999998,Time limit,119.0,0.6528532914971642,1
2025-10-28,O:SPY251029C00685000,2.77,3.78,36.462093862815884,3636.0,Time limit,119.0,0.6539661916344951,1
2025-10-29,O:SPY251030C00689000,3.1,3.41,10.0,992.0,Trailing stop,48.0,0.6622140449330072,3
2025-10-29,O:SPY251030C00689000,2.87,2.81,-2.0905923344947737,-204.0,Trailing stop,113.0,0.6534918498037414,1
2025-10-29,O:SPY251030P00688000,3.3,3.19,-3.3333333333333335,-330.0,Early loss exit,5.0,0.6534808148890606,1
2025-10-30,O:SPY251031C00688000,1.15,1.52,32.17391304347827,3182.0000000000014,Trailing stop,18.0,0.6715674528841854,0
2025-10-30,O:SPY251031P00687000,3.95,4.26,7.848101265822785,775.0,Momentum exhaustion,11.0,0.7132556788867094,0
2025-10-30,O:SPY251031P00687000,4.26,4.12,-3.286384976525822,-322.0,Trailing stop,20.0,0.7056454307986796,1
2025-10-31,O:SPY251103P00685000,3.43,3.47,1.1661807580174928,116.0,Trailing stop,29.0,0.6635568673620594,1
2025-10-31,O:SPY251103C00686000,1.51,1.54,1.9867549668874174,198.0,Trailing stop,56.0,0.6779003804989707,0
2025-10-31,O:SPY251103P00685000,3.01,4.27,41.86046511627905,4157.999999999998,Trailing stop,55.0,0.669640255454541,1
2025-11-18,O:SPY251119C00664000,2.31,2.03,-12.121212121212134,-1204.0000000000011,Hard stop,2.0,0.6566760547698961,3
2025-11-18,O:SPY251119C00664000,1.8,2.69,49.44444444444444,4895.0,Trailing stop,40.0,0.6571402225047702,3
2025-11-18,O:SPY251119C00664000,1.98,3.64,83.83838383838383,8300.0,Trailing stop,74.0,0.6837160671482835,3
2025-11-19,O:SPY251120C00661000,5.16,7.37,42.82945736434108,4199.0,Trailing stop,60.0,0.6613597937120811,1
2025-11-20,O:SPY251121C00671000,1.1,1.02,-7.272727272727285,-720.0000000000013,Early loss exit,4.0,0.6599870433231415,3
2025-11-20,O:SPY251121C00671000,0.96,0.79,-17.708333333333336,-1768.0,Hard stop,6.0,0.6549113930172843,3
2025-11-20,O:SPY251121C00671000,0.75,0.71,-5.333333333333334,-532.0,Early loss exit,5.0,0.6666462031459445,3
2025-11-21,O:SPY251124C00655000,5.2,4.48,-13.846153846153836,-1367.9999999999989,Hard stop,31.0,0.6563512050975013,2
2025-11-21,O:SPY251124C00655000,4.68,4.11,-12.179487179487166,-1196.9999999999989,Hard stop,9.0,0.6613215352273392,3
2025-11-21,O:SPY251124C00655000,3.67,3.75,2.17983651226158,216.0,Trailing stop,21.0,0.6667721290190904,3
2025-11-24,O:SPY251125C00663000,4.72,4.09,-13.347457627118645,-1323.0,Hard stop,8.0,0.6675667890708658,1
2025-11-24,O:SPY251125P00662000,3.24,2.87,-11.419753086419753,-1110.0,Hard stop,1.0,0.679133867231378,2
2025-11-24,O:SPY251125P00662000,2.87,3.04,5.923344947735192,578.0,Trailing stop,6.0,0.6681279969148098,1
2025-12-02,O:SPY251203P00680000,2.26,2.19,-3.0973451327433508,-307.99999999999875,Trailing stop,11.0,0.6547434790807802,3
2025-12-03,O:SPY251204C00684000,1.02,1.09,6.86274509803923,686.0000000000014,Trailing stop,17.0,0.685232062467755,2
2025-12-03,O:SPY251204P00683000,3.61,3.58,-0.8310249307479225,-81.0,Trailing stop,9.0,0.6532164175483292,3
2025-12-03,O:SPY251204C00684000,1.1,1.34,21.818181818181802,2159.9999999999986,Trailing stop,24.0,0.6521989979917088,3
2025-12-04,O:SPY251205P00683000,2.26,1.97,-12.831858407079636,-1275.9999999999986,Hard stop,4.0,0.6501089939912289,3
2025-12-04,O:SPY251205P00683000,2.48,2.27,-8.46774193548387,-840.0,Hard stop,1.0,0.656455443061087,3
2025-12-04,O:SPY251205C00684000,1.99,1.87,-6.030150753768844,-600.0,Early loss exit,17.0,0.6552752568464449,0
2025-12-05,O:SPY251208P00685000,1.86,1.73,-6.989247311827956,-689.0,Early loss exit,8.0,0.652711783765886,3
2025-12-05,O:SPY251208P00685000,1.76,1.85,5.113636363636364,504.0,Trailing stop,36.0,0.6525554506050301,3
2025-12-08,O:SPY251209C00687000,0.4,0.38,-5.0,-500.0,Early loss exit,7.0,0.6571565746832477,3
2025-12-08,O:SPY251209C00687000,0.37,0.32,-13.513513513513514,-1350.0,Hard stop,7.0,0.6640087740294764,3
2025-12-08,O:SPY251209C00687000,0.28,0.3,7.142857142857128,713.9999999999987,Momentum exhaustion,30.0,0.7504710610959675,3
2025-12-10,O:SPY251211C00684000,2.57,2.26,-12.062256809338532,-1178.0000000000011,Hard stop,84.0,0.6529529170891867,3
2025-12-10,O:SPY251211C00684000,2.93,3.23,10.238907849829351,1020.0,Trailing stop,21.0,0.6502443487598799,0
2025-12-10,O:SPY251211P00683000,2.4,2.2,-8.333333333333321,-819.9999999999989,Hard stop,5.0,0.6598996601377,3
2025-12-11,O:SPY251212P00683000,1.33,1.25,-6.015037593984962,-600.0,Early loss exit,2.0,0.6596751981888352,0
2025-12-11,O:SPY251212P00683000,1.36,1.25,-8.088235294117647,-803.0,Hard stop,12.0,0.6566824602992052,3
2025-12-11,O:SPY251212P00683000,1.37,1.34,-2.18978102189781,-216.0,Trailing stop,7.0,0.6532587364372886,3
2025-12-12,O:SPY251215C00689000,0.69,0.58,-15.942028985507257,-1584.000000000001,Hard stop,18.0,0.6641991206136978,3
