date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence
2025-09-02,O:SPY250903P00640000,4.63,3.96,-14.47084233261339,-1407.0,Hard stop,6.0,0.6738817729491714
2025-09-02,O:SPY250903C00641000,1.01,1.53,51.48514851485149,5148.0,Momentum exhaustion,21.0,0.6678233718143162
2025-09-02,O:SPY250903P00640000,2.86,2.51,-12.237762237762247,-1190.000000000001,Hard stop,1.0,0.6562799369676222
2025-09-05,O:SPY250908P00650000,1.94,3.23,66.49484536082474,6579.0,Momentum exhaustion,14.0,0.6662869370678287
2025-09-05,O:SPY250908C00651000,0.56,0.46,-17.85714285714287,-1780.0000000000014,Hard stop,2.0,0.7390022578823755
2025-09-05,O:SPY250908C00651000,0.47,0.41,-12.76595744680851,-1272.0,Hard stop,4.0,0.7507650865063988
2025-09-09,O:SPY250910P00649000,2.5,2.11,-15.6,-1560.0,Hard stop,3.0,0.6776515538488223
2025-09-16,O:SPY250917P00661000,2.45,3.0,22.44897959183672,2199.999999999999,Time limit,119.0,0.6506012356657818
2025-09-17,O:SPY250918P00660000,2.83,2.85,0.7067137809187279,70.0,Momentum exhaustion,20.0,0.6925486711084564
2025-09-17,O:SPY250918P00660000,4.2,3.58,-14.761904761904763,-1426.0,Hard stop,15.0,0.651306893620055
2025-09-17,O:SPY250918C00661000,1.05,1.69,60.952380952380956,6080.0,Momentum exhaustion,8.0,0.7482175175402784
2025-09-23,O:SPY250924P00666000,1.28,1.18,-7.8125,-780.0,Early loss exit,16.0,0.6663856006306937
2025-09-23,O:SPY250924C00667000,0.4,0.42,5.0,500.0,Momentum exhaustion,20.0,0.6841088756150441
2025-09-24,O:SPY250925P00663000,2.99,3.28,9.698996655518394,957.0,Momentum exhaustion,9.0,0.6644919127413239
2025-09-24,O:SPY250925C00664000,0.56,0.49,-12.50000000000001,-1246.0000000000014,Hard stop,6.0,0.7061994858114383
2025-09-24,O:SPY250925C00664000,0.49,0.54,10.204081632653061,1020.0,Momentum exhaustion,11.0,0.6801223757557965
2025-09-25,O:SPY250926P00661000,4.45,5.6,25.842696629213485,2530.0,Momentum exhaustion,12.0,0.6520263041662826
